Estadística del Padrón Continuo
30.- Murcia, Región de
Población por sexo, municipios y país de nacimiento
Unidades:   Personas

,Total,España,Extranjero,Europa (sin España),UE28 sin España,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Europa menos UE28,Rusia,Ucrania,África,Argelia,Marruecos,Nigeria,Senegal,América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Asia,China,Pakistán,Oceanía ,
    Total,
        30 Murcia,
            1 de enero de 2013,2.176,1.934,242,162,158,10,1,32,0,0,7,65,29,4,0,2,49,7,42,0,0,26,1,11,2,2,0,0,6,1,1,0,0,1,5,4,0,0,
        30015 Caravaca de la Cruz,
            1 de enero de 2020,25.688,22.854,2.834,849,798,37,197,153,5,10,49,42,264,51,9,17,385,28,331,1,2,1.553,54,498,36,151,12,3,544,9,7,40,34,23,46,27,4,1,
            1 de enero de 2019,25.760,22.992,2.768,879,826,37,225,154,7,11,49,44,266,53,10,16,390,26,341,1,2,1.453,53,494,37,132,15,2,540,6,7,36,35,9,45,25,2,1,
            1 de enero de 2018,25.730,23.069,2.661,903,851,39,238,158,6,14,57,48,260,52,8,17,285,20,243,1,2,1.422,53,486,36,125,21,1,552,8,7,36,34,5,50,28,3,1,
            1 de enero de 2017,25.633,23.069,2.564,891,834,36,210,150,6,14,65,59,266,57,9,19,239,17,204,1,1,1.383,50,478,36,104,19,0,560,8,3,38,41,5,50,33,2,1,
            1 de enero de 2016,25.591,23.061,2.530,896,843,35,215,147,7,13,76,58,263,53,9,15,205,13,176,0,1,1.370,50,451,40,98,17,0,572,3,5,40,44,10,58,36,3,1,
            1 de enero de 2015,25.851,23.168,2.683,1.011,953,33,253,151,6,16,79,64,316,58,11,14,205,13,177,0,0,1.412,51,476,40,91,18,1,607,4,5,45,34,11,54,31,3,1,
            1 de enero de 2014,26.280,23.171,3.109,1.317,1.259,33,379,171,5,20,121,120,337,58,8,17,211,13,185,0,0,1.517,61,550,35,102,25,1,611,8,4,35,40,11,62,33,6,2,
            1 de enero de 2013,26.024,23.141,2.883,1.114,1.062,32,292,164,5,14,103,78,327,52,9,15,190,9,169,0,0,1.520,61,556,36,91,25,0,619,11,4,32,44,12,57,32,0,2,
        30016 Cartagena,
            1 de enero de 2020,216.108,187.026,29.082,6.258,5.042,416,240,715,164,91,92,1.926,719,1.216,216,753,13.425,206,12.100,137,204,8.450,519,539,277,1.544,221,79,3.195,394,270,263,80,522,931,483,64,18,
            1 de enero de 2019,214.802,187.108,27.694,6.045,4.890,408,234,718,155,105,98,1.798,724,1.155,186,759,12.897,203,11.642,122,200,7.794,461,548,276,1.252,205,76,3.188,364,246,261,75,424,942,499,64,16,
            1 de enero de 2018,213.943,187.006,26.937,6.059,4.954,399,243,709,150,106,102,1.806,799,1.105,175,736,12.557,203,11.343,130,190,7.392,451,548,240,1.105,185,74,3.210,355,225,251,69,352,914,493,60,15,
            1 de enero de 2017,214.177,187.191,26.986,6.237,5.167,419,274,717,145,116,122,1.857,889,1.070,175,697,12.458,196,11.278,139,184,7.407,468,582,239,1.068,187,70,3.398,325,218,208,78,296,868,484,50,16,
            1 de enero de 2016,214.759,187.094,27.665,6.632,5.602,462,298,725,132,133,143,2.013,1.009,1.030,159,680,12.502,204,11.326,146,172,7.659,476,602,258,1.086,174,77,3.585,322,236,218,85,272,856,496,42,16,
            1 de enero de 2015,216.301,186.899,29.402,7.853,6.816,528,348,781,137,177,197,2.585,1.209,1.037,162,652,12.753,216,11.516,164,173,7.971,496,628,253,1.133,186,82,3.766,336,243,218,103,245,810,488,38,15,
            1 de enero de 2014,216.451,186.529,29.922,8.180,7.165,559,381,795,126,199,223,2.725,1.279,1.015,146,638,12.784,212,11.513,188,178,8.147,496,678,278,1.134,194,86,3.883,329,252,207,93,235,795,473,36,16,
            1 de enero de 2013,217.641,186.097,31.544,9.669,8.623,689,404,872,134,234,262,3.631,1.366,1.046,143,634,12.756,226,11.414,203,205,8.259,523,688,279,1.097,190,93,3.973,340,258,220,96,221,844,489,26,16,
        30017 Cehegín,
            1 de enero de 2020,14.769,13.345,1.424,790,767,19,399,70,6,0,33,195,25,23,1,5,340,4,323,0,1,217,28,28,12,36,4,1,69,2,4,7,1,15,77,31,41,0,
            1 de enero de 2019,14.983,13.517,1.466,857,836,16,445,71,7,2,35,200,27,21,1,4,322,7,299,0,1,208,27,27,9,37,4,1,71,1,4,5,2,10,79,27,44,0,
            1 de enero de 2018,15.022,13.583,1.439,921,902,19,494,69,6,2,42,206,34,19,1,4,266,6,248,0,1,192,21,32,7,25,0,1,74,2,3,5,4,5,60,24,30,0,
            1 de enero de 2017,15.193,13.757,1.436,926,905,19,495,67,5,2,44,212,44,21,0,5,262,3,243,1,1,194,12,32,13,26,1,1,73,2,2,5,7,6,54,26,23,0,
            1 de enero de 2016,15.321,13.862,1.459,977,952,18,490,68,8,3,54,243,53,25,1,7,237,3,224,1,0,198,17,34,12,27,1,1,75,2,2,6,3,6,47,20,23,0,
            1 de enero de 2015,15.794,13.951,1.843,1.311,1.293,18,664,66,6,9,110,293,86,18,0,5,254,4,241,0,0,222,20,43,10,28,2,2,86,0,2,7,3,6,56,20,30,0,
            1 de enero de 2014,15.955,14.063,1.892,1.356,1.340,21,651,62,6,7,115,333,102,16,0,5,251,4,242,0,0,228,16,47,13,24,2,2,96,0,1,6,3,5,57,18,30,0,
            1 de enero de 2013,16.267,14.135,2.132,1.574,1.556,19,765,63,7,11,158,387,99,18,1,5,249,6,238,0,0,239,17,61,14,24,1,1,95,0,2,8,3,5,70,22,42,0,
        30018 Ceutí,
            1 de enero de 2020,12.007,10.400,1.607,240,202,35,9,40,15,6,35,3,48,38,4,18,611,13,519,0,35,720,40,73,31,116,55,12,264,32,19,9,5,8,35,29,4,1,
            1 de enero de 2019,11.787,10.303,1.484,253,209,35,15,41,14,2,26,2,64,44,4,21,519,6,446,0,27,674,39,75,28,111,35,12,254,34,24,9,6,10,37,30,7,1,
            1 de enero de 2018,11.565,10.224,1.341,265,225,38,21,39,14,4,31,5,60,40,3,20,439,6,387,0,14,610,36,72,27,90,33,5,252,22,19,10,8,7,27,26,1,0,
            1 de enero de 2017,11.472,10.160,1.312,276,244,38,21,40,13,4,40,5,59,32,2,17,416,4,373,0,9,595,36,73,34,78,31,2,257,19,18,10,9,4,25,24,1,0,
            1 de enero de 2016,11.321,10.039,1.282,271,238,38,22,39,15,2,31,10,58,33,3,18,400,2,355,0,11,581,34,75,24,70,23,2,269,20,17,9,10,3,29,29,0,1,
            1 de enero de 2015,11.227,9.906,1.321,289,255,41,23,39,16,4,29,8,73,34,4,19,368,2,326,2,12,632,34,73,35,78,24,5,293,23,18,9,13,3,31,31,0,1,
            1 de enero de 2014,11.035,9.739,1.296,280,250,39,18,40,16,5,26,3,78,30,3,18,336,3,300,0,9,647,42,69,29,81,21,7,303,29,19,9,10,6,33,33,0,0,
            1 de enero de 2013,10.967,9.676,1.291,289,257,38,16,44,13,5,28,3,84,32,3,17,318,3,279,1,10,652,29,69,33,77,19,7,324,26,18,10,11,5,32,31,1,0,
        30019 Cieza,
            1 de enero de 2020,35.283,31.521,3.762,715,571,19,19,368,9,4,1,30,63,144,34,60,1.970,46,1.909,0,2,1.016,22,95,25,39,7,2,490,13,2,15,11,24,61,51,0,0,
            1 de enero de 2019,34.988,31.532,3.456,714,575,20,14,373,4,5,2,27,71,139,35,59,1.745,45,1.688,0,1,928,22,96,22,32,3,2,505,9,3,15,10,18,69,55,4,0,
            1 de enero de 2018,34.889,31.577,3.312,732,592,20,13,371,2,9,2,31,83,140,38,55,1.649,44,1.594,0,0,860,20,100,21,28,4,1,503,6,3,12,10,11,71,54,5,0,
            1 de enero de 2017,34.987,31.673,3.314,751,619,21,21,373,2,6,3,35,93,132,37,53,1.631,47,1.572,0,0,860,18,99,23,31,4,1,525,11,3,14,11,12,72,56,5,0,
            1 de enero de 2016,35.134,31.776,3.358,773,641,22,24,378,2,7,3,30,106,132,38,50,1.597,43,1.539,1,2,911,17,104,22,30,6,1,558,12,7,15,10,14,77,59,6,0,
            1 de enero de 2015,35.115,31.787,3.328,793,659,21,28,379,1,6,2,29,121,134,40,51,1.527,41,1.471,0,3,931,18,104,18,29,5,1,591,11,7,21,10,13,77,58,5,0,
            1 de enero de 2014,35.064,31.717,3.347,843,695,20,30,388,2,8,2,32,129,148,48,58,1.455,37,1.403,0,3,967,25,113,15,31,6,1,619,7,8,23,9,12,82,67,5,0,
            1 de enero de 2013,35.240,31.775,3.465,886,718,19,24,399,1,9,2,35,133,168,63,59,1.475,44,1.420,0,2,1.025,29,128,14,31,5,1,680,5,8,19,7,10,79,65,7,0,
        30020 Fortuna,
            1 de enero de 2020,10.289,8.164,2.125,691,599,22,10,55,9,11,4,318,76,92,10,66,1.137,41,1.087,0,5,266,8,30,7,147,4,2,33,13,0,3,3,8,31,11,7,0,
            1 de enero de 2019,10.112,8.122,1.990,658,564,22,10,50,8,15,6,312,67,94,12,69,1.064,35,1.021,0,4,241,7,31,7,117,4,2,41,12,0,3,0,9,27,10,6,0,
            1 de enero de 2018,10.060,8.088,1.972,675,582,27,8,47,7,18,7,329,74,93,11,68,1.031,34,988,0,4,242,10,30,5,118,3,2,40,12,0,3,1,10,24,9,3,0,
            1 de enero de 2017,10.049,8.074,1.975,723,634,32,5,49,5,15,7,345,102,89,8,67,1.009,32,969,0,4,218,10,30,4,93,2,0,48,10,1,1,0,10,25,12,1,0,
            1 de enero de 2016,9.960,8.016,1.944,763,680,37,5,45,5,18,11,382,98,83,8,61,965,37,919,0,3,195,8,28,5,83,2,0,40,10,2,2,0,4,21,12,0,0,
            1 de enero de 2015,9.814,7.920,1.894,769,684,44,6,44,5,21,12,395,77,85,9,64,901,36,855,0,3,207,9,27,4,97,2,0,41,9,2,2,0,3,17,9,0,0,
            1 de enero de 2014,9.714,7.818,1.896,820,733,50,5,37,10,25,14,433,74,87,10,61,853,30,813,0,3,204,11,32,4,95,0,1,37,8,3,2,0,2,19,11,0,0,
            1 de enero de 2013,9.623,7.747,1.876,834,753,52,10,38,11,27,13,447,69,81,10,52,840,31,800,0,3,189,7,33,6,87,0,0,35,8,3,2,0,2,13,7,0,0,
        30021 Fuente Álamo de Murcia,
            1 de enero de 2020,16.787,11.492,5.295,1.058,1.007,11,2,108,2,21,18,514,252,51,14,25,2.110,8,2.086,4,2,2.095,14,119,16,71,18,14,1.432,289,13,7,0,10,29,19,0,3,
            1 de enero de 2019,16.583,11.428,5.155,1.021,967,12,4,106,4,32,11,492,244,54,14,26,2.104,7,2.085,4,1,1.999,16,112,17,51,15,13,1.415,266,10,7,0,8,28,21,0,3,
            1 de enero de 2018,16.184,11.305,4.879,917,865,11,4,102,4,46,8,403,233,52,13,27,2.022,6,2.006,3,0,1.913,14,120,17,53,10,10,1.388,236,7,10,0,5,27,19,0,0,
            1 de enero de 2017,16.180,11.364,4.816,998,942,11,4,112,4,57,10,452,231,56,12,28,1.961,5,1.946,1,4,1.834,10,116,15,50,9,10,1.378,197,9,11,0,4,23,14,0,0,
            1 de enero de 2016,16.205,11.293,4.912,1.063,1.005,11,4,113,3,69,18,460,266,58,14,25,1.957,4,1.943,1,5,1.864,12,119,15,44,6,10,1.429,188,8,11,0,5,25,12,0,3,
            1 de enero de 2015,16.284,11.266,5.018,1.056,1.005,11,5,114,5,80,19,448,259,51,13,21,1.988,4,1.978,1,2,1.946,7,139,18,44,6,10,1.452,229,8,12,0,5,28,16,0,0,
            1 de enero de 2014,16.338,11.192,5.146,1.151,1.096,12,10,116,4,95,19,494,281,55,13,23,2.010,4,1.998,2,1,1.952,9,145,17,44,4,10,1.449,233,7,11,0,5,33,17,0,0,
            1 de enero de 2013,16.679,11.057,5.622,1.650,1.594,28,18,132,7,153,28,798,345,56,13,24,2.025,4,2.017,1,0,1.913,11,127,17,46,3,8,1.482,179,8,9,0,9,34,19,0,0,
        30022 Jumilla,
            1 de enero de 2020,25.994,20.488,5.506,572,516,13,156,40,7,5,14,134,100,56,2,13,1.713,35,1.146,11,56,3.175,24,587,41,340,18,3,1.693,51,34,15,2,19,46,30,9,0,
            1 de enero de 2019,25.600,20.517,5.083,594,539,10,198,40,5,7,13,131,96,55,2,12,1.631,43,1.146,11,40,2.818,20,528,37,252,6,3,1.640,48,17,14,2,19,40,30,6,0,
            1 de enero de 2018,25.547,20.600,4.947,637,579,7,234,43,19,6,9,128,103,58,4,11,1.557,44,1.114,13,27,2.712,24,519,32,229,8,3,1.672,40,12,12,3,13,41,31,5,0,
            1 de enero de 2017,25.672,20.784,4.888,683,621,7,269,42,32,6,10,119,102,62,3,12,1.499,55,1.074,7,30,2.666,30,499,33,220,6,3,1.685,30,11,11,2,14,40,30,4,0,
            1 de enero de 2016,25.362,20.749,4.613,661,603,7,276,41,18,6,9,104,110,58,1,12,1.327,57,957,7,17,2.582,24,499,33,199,5,3,1.667,29,12,8,1,12,43,32,4,0,
            1 de enero de 2015,25.484,20.818,4.666,711,655,6,271,42,6,8,14,137,113,56,1,12,1.239,56,890,9,10,2.675,21,516,35,188,5,3,1.772,32,13,8,2,11,41,30,3,0,
            1 de enero de 2014,25.476,20.783,4.693,767,712,8,290,38,7,18,15,159,112,55,0,12,1.184,51,850,10,9,2.701,19,518,38,196,5,2,1.800,33,12,8,2,10,41,29,4,0,
            1 de enero de 2013,25.710,20.787,4.923,933,876,7,348,43,10,26,20,211,114,57,0,14,1.177,57,862,5,6,2.768,27,564,34,205,3,2,1.819,25,13,7,2,12,45,33,2,0,
        30023 Librilla,
            1 de enero de 2020,5.325,4.726,599,208,184,5,0,117,3,8,6,20,20,24,13,7,204,2,195,1,1,182,7,34,12,25,10,3,50,19,1,1,1,8,5,5,0,0,
            1 de enero de 2019,5.305,4.716,589,215,191,5,0,121,4,9,6,20,20,24,13,7,196,3,187,0,1,172,6,31,10,17,8,3,49,25,1,1,1,9,6,5,0,0,
            1 de enero de 2018,5.196,4.670,526,209,181,5,0,117,2,7,5,16,22,28,13,11,182,1,179,0,1,129,5,34,8,12,5,3,38,7,1,1,1,3,6,5,0,0,
            1 de enero de 2017,5.160,4.655,505,196,175,5,0,116,2,8,5,17,17,21,13,4,179,2,172,0,2,124,6,33,7,11,5,3,30,14,0,1,1,3,6,5,0,0,
            1 de enero de 2016,5.107,4.617,490,201,181,6,0,118,2,8,5,15,22,20,13,3,165,2,160,0,1,119,5,32,6,8,6,3,35,11,0,1,1,2,5,4,0,0,
            1 de enero de 2015,5.016,4.531,485,204,185,7,0,118,1,4,5,19,26,19,13,2,168,0,167,0,0,108,6,33,4,7,6,3,33,5,0,1,1,0,5,4,0,0,
            1 de enero de 2014,4.900,4.433,467,202,185,7,0,113,1,5,5,22,27,17,12,2,166,0,165,0,0,94,5,32,4,4,5,3,33,3,0,0,1,2,5,4,0,0,
            1 de enero de 2013,4.839,4.359,480,215,198,10,0,115,1,6,5,24,32,17,11,3,168,0,167,0,0,91,6,29,3,2,4,3,36,3,0,1,1,2,6,5,0,0,
        30024 Lorca,
            1 de enero de 2020,95.515,72.539,22.976,3.893,3.670,102,320,1.537,52,40,49,395,1.037,223,69,71,9.880,106,8.561,138,207,8.800,171,871,66,413,155,23,5.365,68,207,105,13,141,400,126,177,3,
            1 de enero de 2019,94.404,72.496,21.908,4.077,3.864,100,355,1.544,56,34,53,395,1.184,213,67,65,9.355,97,8.212,132,171,8.081,156,868,66,327,132,23,5.257,62,178,97,11,86,395,126,162,0,
            1 de enero de 2018,93.079,72.558,20.521,4.017,3.809,108,343,1.537,56,27,44,351,1.196,208,67,63,8.555,89,7.629,115,132,7.599,156,854,65,286,95,20,5.219,53,159,103,11,67,350,122,141,0,
            1 de enero de 2017,92.299,72.602,19.697,4.001,3.791,105,308,1.565,44,27,47,337,1.206,210,67,63,7.968,94,7.119,102,118,7.406,151,831,55,255,96,20,5.283,45,119,103,5,69,322,119,134,0,
            1 de enero de 2016,91.730,72.435,19.295,4.047,3.835,132,335,1.587,43,32,65,361,1.137,212,68,61,7.433,103,6.611,106,117,7.527,151,853,52,232,85,19,5.516,40,114,98,3,53,288,128,108,0,
            1 de enero de 2015,91.714,72.287,19.427,4.195,3.981,141,368,1.606,47,44,84,405,1.136,214,68,58,7.185,108,6.443,103,98,7.768,163,864,56,242,72,26,5.756,42,119,95,2,52,279,115,108,0,
            1 de enero de 2014,91.759,72.049,19.710,4.434,4.210,149,422,1.635,57,52,109,467,1.150,224,72,63,7.003,118,6.260,122,97,7.996,163,919,60,238,73,25,5.946,40,126,98,2,45,277,124,101,0,
            1 de enero de 2013,92.718,71.933,20.785,5.068,4.835,173,646,1.697,68,75,156,547,1.277,233,69,65,7.095,133,6.324,115,91,8.345,161,985,63,244,69,25,6.233,34,130,97,1,43,277,122,102,0,
        30025 Lorquí,
            1 de enero de 2020,7.246,6.083,1.163,275,245,40,13,21,6,9,14,2,132,30,3,21,533,3,471,0,47,341,39,25,10,34,16,0,158,18,6,1,4,11,14,12,1,0,
            1 de enero de 2019,7.141,6.108,1.033,268,238,37,12,21,4,7,15,2,134,30,2,23,474,3,416,0,42,281,33,22,7,27,11,0,142,13,5,2,4,6,10,8,1,0,
            1 de enero de 2018,7.002,6.038,964,269,248,37,16,21,4,7,18,2,135,21,1,16,411,4,354,0,41,275,35,20,7,28,6,0,138,13,4,2,6,6,9,9,0,0,
            1 de enero de 2017,7.039,6.069,970,258,235,39,20,23,3,12,12,0,112,23,2,17,416,6,359,0,38,283,34,23,6,28,9,1,147,11,5,1,4,8,13,12,1,0,
            1 de enero de 2016,6.969,5.989,980,276,250,46,21,23,3,19,14,1,114,26,3,20,387,7,325,1,40,301,34,25,8,30,8,1,167,9,3,1,4,4,15,13,1,1,
            1 de enero de 2015,7.020,6.015,1.005,301,272,49,26,23,3,25,21,1,113,29,3,22,379,5,328,2,31,311,36,27,5,28,8,2,181,8,3,3,4,3,13,11,1,1,
            1 de enero de 2014,6.948,5.948,1.000,297,272,47,27,23,3,34,21,1,105,25,1,20,361,5,316,0,28,331,37,31,5,32,5,1,201,4,3,6,3,1,10,7,2,1,
            1 de enero de 2013,6.954,5.872,1.082,353,329,52,46,25,2,55,26,3,106,24,1,19,373,4,318,0,36,347,37,32,7,37,4,1,203,5,3,8,3,4,8,7,0,1,
        30026 Mazarrón,
            1 de enero de 2020,32.839,20.430,12.409,6.434,6.166,240,118,254,46,73,61,4.266,567,268,28,49,3.685,33,3.298,1,156,2.113,106,38,31,153,32,11,1.287,17,32,20,14,23,175,91,18,2,
            1 de enero de 2019,32.209,20.309,11.900,6.232,5.970,248,122,263,40,68,69,4.011,621,262,27,48,3.516,49,3.166,1,125,1.990,99,30,23,131,36,9,1.267,18,30,19,15,21,162,93,18,0,
            1 de enero de 2018,31.562,20.202,11.360,6.024,5.763,264,122,251,38,69,69,3.810,629,261,27,38,3.266,62,2.958,1,92,1.916,90,38,21,130,38,12,1.260,14,23,22,15,19,153,88,15,1,
            1 de enero de 2017,30.996,20.095,10.901,5.804,5.538,262,116,253,33,70,76,3.661,602,266,27,33,3.062,34,2.791,1,96,1.886,88,37,14,130,39,14,1.287,15,22,19,14,17,149,90,14,0,
            1 de enero de 2016,30.704,20.030,10.674,5.691,5.420,239,109,263,35,75,87,3.655,542,271,26,33,2.914,39,2.656,1,92,1.935,89,41,13,127,36,15,1.356,9,22,17,14,20,134,78,14,0,
            1 de enero de 2015,32.150,19.998,12.152,6.915,6.641,323,139,289,43,125,134,4.588,487,274,28,25,2.956,42,2.705,3,82,2.142,99,40,15,137,41,16,1.563,8,23,18,13,18,139,84,13,0,
            1 de enero de 2014,32.718,19.763,12.955,7.570,7.297,395,149,298,53,183,160,5.086,406,273,31,22,2.979,41,2.750,3,72,2.256,102,49,24,151,37,17,1.642,11,25,18,13,16,149,92,15,1,
            1 de enero de 2013,35.661,19.666,15.995,10.516,10.209,709,166,316,67,215,205,7.426,387,307,25,22,3.002,45,2.783,4,66,2.317,105,45,29,158,37,19,1.689,11,27,16,19,17,158,91,17,2,
        30027 Molina de Segura,
            1 de enero de 2020,73.095,61.448,11.647,3.059,2.643,252,267,558,129,58,83,117,983,416,79,217,2.982,233,2.517,27,89,5.274,273,386,312,1.291,261,35,1.687,94,140,109,83,258,329,233,26,3,
            1 de enero de 2019,71.890,61.042,10.848,3.001,2.601,242,256,525,121,62,82,103,1.019,400,75,220,2.759,208,2.336,27,83,4.775,257,368,262,1.063,249,34,1.659,94,123,108,77,203,309,228,18,4,
            1 de enero de 2018,70.964,60.623,10.341,3.066,2.677,240,270,513,121,73,89,104,1.079,389,67,226,2.506,179,2.126,31,67,4.460,246,369,216,903,240,27,1.676,87,134,103,68,169,307,243,15,2,
            1 de enero de 2017,70.344,60.279,10.065,3.084,2.717,244,280,523,131,73,79,105,1.096,367,68,204,2.389,178,2.017,33,66,4.281,248,362,193,846,228,32,1.663,72,121,97,72,146,310,259,17,1,
            1 de enero de 2016,69.614,59.708,9.906,3.099,2.741,248,265,528,128,79,71,98,1.136,358,67,203,2.317,175,1.932,38,72,4.174,240,370,182,765,226,33,1.677,70,116,95,71,138,315,264,18,1,
            1 de enero de 2015,69.331,59.197,10.134,3.336,2.977,259,288,558,125,118,93,109,1.201,359,69,197,2.187,168,1.809,40,63,4.291,251,378,183,779,229,34,1.767,77,124,82,74,123,317,261,21,3,
            1 de enero de 2014,68.775,58.500,10.275,3.514,3.142,270,287,584,126,166,106,128,1.209,372,72,205,2.117,165,1.736,44,63,4.370,247,397,201,784,225,33,1.831,82,125,70,70,129,271,212,24,3,
            1 de enero de 2013,68.450,57.791,10.659,3.776,3.387,290,324,617,135,191,127,153,1.259,389,73,220,2.083,168,1.691,44,70,4.541,250,426,252,818,223,34,1.867,89,129,67,77,136,256,205,11,3,
        30028 Moratalla,
            1 de enero de 2020,7.804,7.385,419,177,169,10,17,71,3,1,2,43,16,8,0,0,150,27,112,0,0,75,10,10,4,15,1,2,14,3,1,2,4,0,17,4,11,0,
            1 de enero de 2019,7.839,7.433,406,181,170,10,12,73,3,1,1,45,18,11,2,1,153,31,109,0,0,60,9,7,4,10,1,1,14,3,1,2,3,0,12,2,9,0,
            1 de enero de 2018,7.954,7.539,415,189,176,10,14,76,4,0,2,45,16,13,2,2,158,28,117,0,0,59,9,6,3,11,1,1,14,2,1,2,4,0,8,2,6,1,
            1 de enero de 2017,8.048,7.621,427,199,184,8,18,77,3,0,2,48,18,15,4,2,159,30,119,0,0,61,4,11,3,12,1,1,16,2,1,3,4,0,7,3,4,1,
            1 de enero de 2016,8.145,7.710,435,205,192,7,8,78,3,0,2,58,23,13,4,2,164,39,116,1,0,59,4,13,3,12,1,0,15,1,1,2,4,0,7,2,5,0,
            1 de enero de 2015,8.189,7.752,437,215,204,7,12,80,4,0,2,58,27,11,2,2,160,39,109,2,0,59,5,12,4,11,1,0,16,1,1,1,4,0,3,2,1,0,
            1 de enero de 2014,8.219,7.782,437,214,206,7,8,80,3,0,4,58,31,8,1,2,164,44,108,2,0,55,4,9,2,9,1,0,17,2,3,1,4,0,4,4,0,0,
            1 de enero de 2013,8.229,7.787,442,229,221,9,9,88,3,0,6,60,32,8,1,2,148,38,101,1,0,57,4,9,1,11,1,0,17,3,3,1,3,0,8,4,4,0,
        30029 Mula,
            1 de enero de 2020,17.021,14.148,2.873,419,402,12,2,202,6,5,33,33,86,17,0,4,1.105,17,1.010,5,19,1.318,3,327,12,104,10,4,767,14,17,13,1,9,30,23,0,1,
            1 de enero de 2019,16.883,14.145,2.738,441,422,11,3,203,10,3,32,42,90,19,0,6,1.006,15,922,7,19,1.259,3,305,12,73,10,4,786,10,17,6,1,7,32,25,1,0,
            1 de enero de 2018,16.790,14.137,2.653,447,430,11,4,203,13,3,32,41,95,17,0,6,935,17,858,7,12,1.237,4,310,15,66,9,4,773,12,15,9,0,7,34,25,3,0,
            1 de enero de 2017,16.713,14.121,2.592,463,444,11,2,207,8,0,32,50,102,19,0,5,871,17,809,5,9,1.223,3,301,15,60,10,2,785,14,12,8,0,7,35,25,0,0,
            1 de enero de 2016,16.689,14.125,2.564,469,454,12,2,208,9,0,40,58,98,15,0,5,814,17,758,5,9,1.246,3,279,13,51,7,1,846,15,10,7,0,8,35,24,1,0,
            1 de enero de 2015,16.805,14.198,2.607,458,442,15,2,209,11,0,37,56,91,16,0,7,778,18,731,6,7,1.341,7,282,13,51,7,2,934,12,10,7,0,9,30,23,0,0,
            1 de enero de 2014,17.008,14.160,2.848,621,597,25,3,223,11,1,67,138,101,24,1,9,748,18,701,6,4,1.448,5,297,15,43,5,1,1.038,12,8,8,0,10,31,21,0,0,
            1 de enero de 2013,17.057,14.180,2.877,680,657,27,4,229,10,1,85,178,89,23,1,8,674,20,640,1,3,1.487,4,318,12,41,3,0,1.068,9,8,9,0,10,36,20,2,0,
        30030 Murcia,
            1 de enero de 2020,459.403,394.167,65.236,16.621,10.748,870,1.752,2.189,699,214,210,1.926,1.883,5.873,522,4.289,20.241,1.082,15.294,551,989,25.798,1.438,3.829,893,4.049,751,317,7.368,558,468,656,292,1.865,2.532,1.541,258,44,
            1 de enero de 2019,453.258,392.828,60.430,16.260,10.455,865,1.758,2.180,639,209,201,1.789,1.853,5.805,517,4.319,18.291,924,13.914,545,892,23.366,1.367,3.823,844,3.339,705,308,7.295,485,389,673,273,1.313,2.471,1.532,226,42,
            1 de enero de 2018,447.182,391.083,56.099,15.835,10.310,864,1.915,2.113,552,199,170,1.707,1.883,5.525,478,4.149,16.581,853,12.700,538,772,21.357,1.353,3.764,744,2.872,631,274,7.262,452,335,615,250,933,2.295,1.491,204,31,
            1 de enero de 2017,443.243,389.364,53.879,15.418,10.019,842,1.893,2.083,486,188,179,1.605,1.923,5.399,474,4.058,15.746,836,11.998,536,750,20.528,1.322,3.800,705,2.646,626,265,7.363,405,331,634,243,681,2.155,1.504,191,32,
            1 de enero de 2016,441.003,387.879,53.124,15.130,9.833,845,1.840,2.054,447,197,192,1.551,1.898,5.297,473,3.972,15.352,838,11.654,548,716,20.576,1.308,3.912,701,2.610,631,268,7.650,381,326,662,239,545,2.036,1.507,167,30,
            1 de enero de 2015,439.889,386.357,53.532,15.046,9.974,842,1.868,2.071,443,214,192,1.564,1.933,5.072,482,3.742,15.235,847,11.522,564,705,21.217,1.343,4.046,728,2.691,625,274,8.076,386,329,746,236,505,2.003,1.536,143,31,
            1 de enero de 2014,439.712,384.779,54.933,15.340,10.335,861,1.955,2.093,456,224,230,1.637,1.991,5.005,500,3.673,15.574,918,11.601,652,759,21.946,1.386,4.330,805,2.741,585,286,8.485,392,330,706,249,485,2.041,1.575,129,32,
            1 de enero de 2013,438.246,382.646,55.600,15.187,10.108,866,1.880,2.068,429,225,223,1.588,1.958,5.079,495,3.758,15.908,972,11.733,681,824,22.519,1.438,4.725,858,2.731,534,300,8.753,422,339,538,252,493,1.956,1.536,88,30,
        30031 Ojós,
            1 de enero de 2020,510,497,13,7,7,2,0,1,0,0,0,1,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,
            1 de enero de 2019,500,490,10,5,5,2,0,1,0,0,0,0,2,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
            1 de enero de 2018,500,492,8,4,4,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
            1 de enero de 2017,494,486,8,3,3,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
